index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago
0|1629590400000|3,3623|3,3681|3,3601|3,3667|5846,09|1629590459999|19667,168485|32|3581,99|12047,676631|22.08.2021 02:00:00|22.08.2021 02:00:59|0,0044|0,008|0,23808815213832921639236927|0,13086280224846087499628231||||||||||||||||||||||||||1INCHUSDT|True|||||||||||
1|1629590460000|3,3677|3,3677|3,36|3,3637|4906,16|1629590519999|16489,87356|35|4291,11|14419,763127|22.08.2021 02:01:00|22.08.2021 02:01:59|-0,004|0,0077|0,22916666666666666666666667|-0,11877542536449208658728509||||||||||||||||||||||||||1INCHUSDT|False|||||||||||
2|1629590520000|3,3668|3,3726|3,3589|3,36|4961,51|1629590579999|16694,832261|51|843,19|2841,417521|22.08.2021 02:02:00|22.08.2021 02:02:59|-0,0068|0,0137|0,40787162463901872636875167|-0,20197219912082689794463586||||||||||||||||||||||||||1INCHUSDT|False|||||||||||
3|1629590580000|3,362|3,3807|3,362|3,3807|4459,09|1629590639999|15024,085662|32|4326,95|14578,961557|22.08.2021 02:03:00|22.08.2021 02:03:59|0,0187|0,0187|0,5562165377751338488994646|0,5562165377751338488994646||||||||||||||||||||||||||1INCHUSDT|True|||||||||||
4|1629590640000|3,3794|3,3923|3,3737|3,3923|3519,87|1629590699999|11912,036599|52|2493,89|8441,640825|22.08.2021 02:04:00|22.08.2021 02:04:59|0,0129|0,0186|0,55132347274505735542579364|0,38172456649109309344854116||||||||||||||||||||||||||1INCHUSDT|True|||||||||||
5|1629590700000|3,3923|3,3955|3,3851|3,3955|2225,6|1629590759999|7547,449104|34|841,55|2854,619667|22.08.2021 02:05:00|22.08.2021 02:05:59|0,0032|0,0104|0,30722873770346518566659774|0,09433127966276567520561271|0,55132347274505735542579364|0,38172456649109309344854116|0,5562165377751338488994646|0,5562165377751338488994646|0,40787162463901872636875167|-0,20197219912082689794463586|0,22916666666666666666666667|-0,11877542536449208658728509|0,23808815213832921639236927|0,13086280224846087499628231|3,3794|3,3923|3,362|3,3807|3,3668|3,36|3,3677|3,3637|3,3623|3,3667|1|1|0|0|1|1INCHUSDT|True|11001|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0 - -0,25|0 - -0,25|0,0 - 0,25
6|1629590760000|3,3955|3,4|3,3905|3,4|3614,09|1629590819999|12266,168864|53|1245,96|4229,788604|22.08.2021 02:06:00|22.08.2021 02:06:59|0,0045|0,0095|0,28019466155434301725409232|0,1325283463407451038138713|0,30722873770346518566659774|0,09433127966276567520561271|0,55132347274505735542579364|0,38172456649109309344854116|0,5562165377751338488994646|0,5562165377751338488994646|0,40787162463901872636875167|-0,20197219912082689794463586|0,22916666666666666666666667|-0,11877542536449208658728509|3,3923|3,3955|3,3794|3,3923|3,362|3,3807|3,3668|3,36|3,3677|3,3637|1|1|1|0|0|1INCHUSDT|True|11100|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0 - -0,25|0 - -0,25
7|1629590820000|3,4|3,4151|3,3996|3,4086|8887,73|1629590879999|30296,809723|150|6088,48|20757,751179|22.08.2021 02:07:00|22.08.2021 02:07:59|0,0086|0,0155|0,45593599246970231791975527|0,25294117647058823529411765|0,28019466155434301725409232|0,1325283463407451038138713|0,30722873770346518566659774|0,09433127966276567520561271|0,55132347274505735542579364|0,38172456649109309344854116|0,5562165377751338488994646|0,5562165377751338488994646|0,40787162463901872636875167|-0,20197219912082689794463586|3,3955|3,4|3,3923|3,3955|3,3794|3,3923|3,362|3,3807|3,3668|3,36|1|1|1|1|0|1INCHUSDT|True|11110|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0 - -0,25
8|1629590880000|3,4094|3,4124|3,4046|3,4071|4111,69|1629590939999|14016,913608|47|3171,58|10812,9143|22.08.2021 02:08:00|22.08.2021 02:08:59|-0,0023|0,0078|0,22910180344240145685249369|-0,06746055024344459435677832|0,45593599246970231791975527|0,25294117647058823529411765|0,28019466155434301725409232|0,1325283463407451038138713|0,30722873770346518566659774|0,09433127966276567520561271|0,55132347274505735542579364|0,38172456649109309344854116|0,5562165377751338488994646|0,5562165377751338488994646|3,4|3,4086|3,3955|3,4|3,3923|3,3955|3,3794|3,3923|3,362|3,3807|1|1|1|1|1|1INCHUSDT|False|11111|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1
9|1629590940000|3,4069|3,4124|3,4042|3,4088|3500,58|1629590999999|11934,360183|38|1542,92|5261,93493|22.08.2021 02:09:00|22.08.2021 02:09:59|0,0019|0,0082|0,24087891428235708830268492|0,05576917432269805394933811|0,22910180344240145685249369|-0,06746055024344459435677832|0,45593599246970231791975527|0,25294117647058823529411765|0,28019466155434301725409232|0,1325283463407451038138713|0,30722873770346518566659774|0,09433127966276567520561271|0,55132347274505735542579364|0,38172456649109309344854116|3,4094|3,4071|3,4|3,4086|3,3955|3,4|3,3923|3,3955|3,3794|3,3923|0|1|1|1|1|1INCHUSDT|True|01111|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0 - -0,25|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5
