Currency|BinaryData|ShouldBuy|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|1
AVAXUSDT|00001|True|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|1
AVAXUSDT|10000|True|0,5 - 1|1 - 2|1 - 2|1 - 2|0,5 - 1|1
AVAXUSDT|11000|False|1 - 2|0,5 - 1|1 - 2|1 - 2|1 - 2|1
AVAXUSDT|01100|True|1 - 2|1 - 2|0,5 - 1|1 - 2|1 - 2|1
AVAXUSDT|10110|False|0,5 - 1|1 - 2|1 - 2|0,5 - 1|1 - 2|1
AVAXUSDT|01011|False|0,5 - 1|0,5 - 1|1 - 2|1 - 2|0,5 - 1|1
AVAXUSDT|00101|False|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|1 - 2|1
AVAXUSDT|00010|True|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|1
AVAXUSDT|10001|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|11000|False|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|01100|True|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|10110|True|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|11011|True|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|11101|False|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|01110|True|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|10111|False|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|01011|True|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|10101|True|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|11010|False|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|2
AVAXUSDT|01101|True|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|10110|False|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|2
AVAXUSDT|01011|True|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|10101|False|0,25 - 0,5|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|1
AVAXUSDT|01010|False|0,5 - 1|0,25 - 0,5|1 - 2|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|00101|True|0,5 - 1|0,5 - 1|0,25 - 0,5|1 - 2|0,25 - 0,5|1
AVAXUSDT|10010|True|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|1 - 2|1
AVAXUSDT|11001|True|0,5 - 1|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|1
AVAXUSDT|11100|False|0,5 - 1|0,5 - 1|1 - 2|0,5 - 1|0,5 - 1|1
AVAXUSDT|01110|True|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|0,5 - 1|1
AVAXUSDT|10111|False|2 - 3|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1
AVAXUSDT|01011|False|1 - 2|2 - 3|0,5 - 1|0,5 - 1|0,5 - 1|1
AVAXUSDT|00101|True|0,25 - 0,5|1 - 2|2 - 3|0,5 - 1|0,5 - 1|1
AVAXUSDT|10010|False|0,5 - 1|0,25 - 0,5|1 - 2|2 - 3|0,5 - 1|1
AVAXUSDT|01001|False|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1 - 2|2 - 3|1
