index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago
0|1632268800000|0,12084|0,12104|0,12034|0,12034|350238,3|1632268859999|42270,516473|119|119863,9|14469,300986|22.09.2021 02:00:00|22.09.2021 02:00:59|-0,0005|0,0007|0,58168522519528003988698687|-0,41377027474346242965905329||||||||||||||||||||||||||ONEUSDT|False|||||||||||
1|1632268860000|0,12043|0,12067|0,11993|0,12008|508277,9|1632268919999|61153,1183|144|269815,1|32464,888187|22.09.2021 02:01:00|22.09.2021 02:01:59|-0,00035|0,00074|0,61702659884932877511881931|-0,29062525948683882753466744||||||||||||||||||||||||||ONEUSDT|False|||||||||||
2|1632268920000|0,12018|0,12098|0,12005|0,12098|483006,2|1632268979999|58145,555435|142|340012|40940,113395|22.09.2021 02:02:00|22.09.2021 02:02:59|0,0008|0,00093|0,77467721782590587255310287|0,6656681644200366117490431||||||||||||||||||||||||||ONEUSDT|True|||||||||||
3|1632268980000|0,12081|0,12161|0,12035|0,12121|1105143,7|1632269039999|133837,038861|264|614250,9|74443,996444|22.09.2021 02:03:00|22.09.2021 02:03:59|0,0004|0,00126|1,04694640631491483174075613|0,331098419005049250889827||||||||||||||||||||||||||ONEUSDT|True|||||||||||
4|1632269040000|0,12119|0,12169|0,12111|0,12152|539852,8|1632269099999|65559,712945|195|178770,7|21720,715753|22.09.2021 02:04:00|22.09.2021 02:04:59|0,00033|0,00058|0,47890347617868053835356288|0,27229969469428170641142008||||||||||||||||||||||||||ONEUSDT|True|||||||||||
5|1632269100000|0,12147|0,12169|0,12098|0,12106|1147845,6|1632269159999|139201,978936|214|482998,9|58632,829134|22.09.2021 02:05:00|22.09.2021 02:05:59|-0,00041|0,00071|0,58687386344850388493965945|-0,33753190088087593644521281|0,47890347617868053835356288|0,27229969469428170641142008|1,04694640631491483174075613|0,331098419005049250889827|0,77467721782590587255310287|0,6656681644200366117490431|0,61702659884932877511881931|-0,29062525948683882753466744|0,58168522519528003988698687|-0,41377027474346242965905329|0,12119|0,12152|0,12081|0,12121|0,12018|0,12098|0,12043|0,12008|0,12084|0,12034|1|1|1|0|0|ONEUSDT|False|11100|0,25 - 0,5|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|-0,25 - -0,5|-0,25 - -0,5
6|1632269160000|0,12096|0,12102|0,12042|0,12045|356441,1|1632269219999|43024,77285|79|47861,3|5780,28092|22.09.2021 02:06:00|22.09.2021 02:06:59|-0,00051|0,0006|0,49825610363726955655206776|-0,42162698412698412698412698|0,58687386344850388493965945|-0,33753190088087593644521281|0,47890347617868053835356288|0,27229969469428170641142008|1,04694640631491483174075613|0,331098419005049250889827|0,77467721782590587255310287|0,6656681644200366117490431|0,61702659884932877511881931|-0,29062525948683882753466744|0,12147|0,12106|0,12119|0,12152|0,12081|0,12121|0,12018|0,12098|0,12043|0,12008|0|1|1|1|0|ONEUSDT|False|01110|0,5 - 1|0,25 - 0,5|1 - 2|0,5 - 1|0,5 - 1|-0,25 - -0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|-0,25 - -0,5
7|1632269220000|0,12045|0,12104|0,12|0,12043|1394945,1|1632269279999|167746,103426|215|491386,1|59106,458803|22.09.2021 02:07:00|22.09.2021 02:07:59|-2E-05|0,00104|0,86666666666666666666666667|-0,01660440016604400166044002|0,49825610363726955655206776|-0,42162698412698412698412698|0,58687386344850388493965945|-0,33753190088087593644521281|0,47890347617868053835356288|0,27229969469428170641142008|1,04694640631491483174075613|0,331098419005049250889827|0,77467721782590587255310287|0,6656681644200366117490431|0,12096|0,12045|0,12147|0,12106|0,12119|0,12152|0,12081|0,12121|0,12018|0,12098|0|0|1|1|1|ONEUSDT|False|00111|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1 - 2|0,5 - 1|-0,25 - -0,5|-0,25 - -0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1
8|1632269280000|0,12042|0,12065|0,12012|0,12055|449503,1|1632269339999|54126,134055|97|176397,3|21243,90783|22.09.2021 02:08:00|22.09.2021 02:08:59|0,00013|0,00053|0,44122544122544122544122544|0,10795548912140840391961468|0,86666666666666666666666667|-0,01660440016604400166044002|0,49825610363726955655206776|-0,42162698412698412698412698|0,58687386344850388493965945|-0,33753190088087593644521281|0,47890347617868053835356288|0,27229969469428170641142008|1,04694640631491483174075613|0,331098419005049250889827|0,12045|0,12043|0,12096|0,12045|0,12147|0,12106|0,12119|0,12152|0,12081|0,12121|0|0|0|1|1|ONEUSDT|True|00011|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1 - 2|0 - -0,25|-0,25 - -0,5|-0,25 - -0,5|0,25 - 0,5|0,25 - 0,5
9|1632269340000|0,12048|0,12134|0,1204|0,12129|406406,7|1632269399999|49064,296208|132|200527,2|24209,520175|22.09.2021 02:09:00|22.09.2021 02:09:59|0,00081|0,00094|0,78073089700996677740863787|0,67231075697211155378486056|0,44122544122544122544122544|0,10795548912140840391961468|0,86666666666666666666666667|-0,01660440016604400166044002|0,49825610363726955655206776|-0,42162698412698412698412698|0,58687386344850388493965945|-0,33753190088087593644521281|0,47890347617868053835356288|0,27229969469428170641142008|0,12042|0,12055|0,12045|0,12043|0,12096|0,12045|0,12147|0,12106|0,12119|0,12152|1|0|0|0|1|ONEUSDT|True|10001|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|-0,25 - -0,5|0,25 - 0,5
