NEARUSDT||True||||||4
NEARUSDT||False||||||1
NEARUSDT|01111|True|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|1
NEARUSDT|10111|True|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|1
NEARUSDT|11011|True|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1
NEARUSDT|11101|True|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1
NEARUSDT|11110|False|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
NEARUSDT|01111|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|1
NEARUSDT|10111|False|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1
NEARUSDT|01011|True|0,25 - 0,5|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|1
NEARUSDT|10101|True|0,5 - 1|0,25 - 0,5|1 - 2|0,5 - 1|0,5 - 1|1
NEARUSDT|11010|True|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1 - 2|0,5 - 1|1
NEARUSDT|11101|False|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1 - 2|1
NEARUSDT|01110|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1
NEARUSDT|10111|True|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1
NEARUSDT|11011|False|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|1
NEARUSDT|01101|False|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0,5 - 1|1
NEARUSDT|00110|True|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|0,5 - 1|1
NEARUSDT|10011|True|1 - 2|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|1
NEARUSDT|11001|True|1 - 2|1 - 2|0,5 - 1|0,25 - 0,5|0,0 - 0,25|1
NEARUSDT|11100|False|1 - 2|1 - 2|1 - 2|0,5 - 1|0,25 - 0,5|1
NEARUSDT|01110|True|0,5 - 1|1 - 2|1 - 2|1 - 2|0,5 - 1|1
NEARUSDT|10111|True|1 - 2|0,5 - 1|1 - 2|1 - 2|1 - 2|1
NEARUSDT|11011|False|0,5 - 1|1 - 2|0,5 - 1|1 - 2|1 - 2|1
NEARUSDT|01101|False|0,5 - 1|0,5 - 1|1 - 2|0,5 - 1|1 - 2|1
NEARUSDT|00110|True|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|0,5 - 1|1
NEARUSDT|10011|True|0,0 - 0,25|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1
NEARUSDT|11001|False|0,5 - 1|0,0 - 0,25|0,5 - 1|0,5 - 1|0,5 - 1|1
NEARUSDT|01100|True|0,5 - 1|0,5 - 1|0,0 - 0,25|0,5 - 1|0,5 - 1|1
NEARUSDT|10110|False|0,5 - 1|0,5 - 1|0,5 - 1|0,0 - 0,25|0,5 - 1|1
NEARUSDT|01011|False|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,0 - 0,25|1
NEARUSDT|00101|False|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|1
NEARUSDT|00010|True|0,5 - 1|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|1
NEARUSDT|10001|True|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|0,5 - 1|1
NEARUSDT|11000|False|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|1
NEARUSDT|01100|False|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1
NEARUSDT|00110|False|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
NEARUSDT|00011|True|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
NEARUSDT|10001|True|0,5 - 1|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|1
