MLNUSDT||True|||||||||||3
MLNUSDT||False|||||||||||2
MLNUSDT||False|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|5
MLNUSDT|0000001101|False|1 - 2|0,5 - 1|1 - 2|0,5 - 1|1 - 2|-1 - -2|-2 - -3|-2 - -3|-1 - -2|1 - 2|1
MLNUSDT|0000000110|True|0,5 - 1|1 - 2|0,5 - 1|1 - 2|0,5 - 1|-1 - -2|-1 - -2|-2 - -3|-2 - -3|-1 - -2|1
MLNUSDT|1000000011|False|1 - 2|0,5 - 1|1 - 2|0,5 - 1|1 - 2|-1 - -2|-1 - -2|-1 - -2|-2 - -3|-2 - -3|1
MLNUSDT|0100000001|True|1 - 2|1 - 2|0,5 - 1|1 - 2|0,5 - 1|0,0 - 0,25|-1 - -2|-1 - -2|-1 - -2|-2 - -3|1
MLNUSDT|1010000000|False|0,5 - 1|1 - 2|1 - 2|0,5 - 1|1 - 2|0,0 - 0,25|0,0 - 0,25|-1 - -2|-1 - -2|-1 - -2|1
MLNUSDT|0101000000|True|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|0,5 - 1|0,5 - 1|0,0 - 0,25|0,0 - 0,25|-1 - -2|-1 - -2|1
MLNUSDT|1010100000|False|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|0,5 - 1|0,0 - 0,25|0,0 - 0,25|-1 - -2|1
MLNUSDT|0101010000|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|0,5 - 1|0,0 - 0,25|0,0 - 0,25|1
MLNUSDT|1010101000|False|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|1 - 2|0,5 - 1|0,0 - 0,25|1
MLNUSDT|0101010100|False|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|0,5 - 1|1
MLNUSDT|0010101010|True|1 - 2|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|-0,25 - -0,5|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1
MLNUSDT|1001010101|True|0,5 - 1|1 - 2|1 - 2|0,25 - 0,5|0,5 - 1|-1 - -2|-0,25 - -0,5|0,25 - 0,5|0,5 - 1|1 - 2|1
MLNUSDT|1100101010|True|0,5 - 1|0,5 - 1|1 - 2|1 - 2|0,25 - 0,5|-1 - -2|-1 - -2|-0,25 - -0,5|0,25 - 0,5|0,5 - 1|1
MLNUSDT|1110010101|False|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1 - 2|-0,5 - -1|-1 - -2|-1 - -2|-0,25 - -0,5|0,25 - 0,5|1
MLNUSDT|0111001010|False|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1 - 2|-0,5 - -1|-1 - -2|-1 - -2|-0,25 - -0,5|1
MLNUSDT|0011100101|True|1 - 2|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|1 - 2|1 - 2|-0,5 - -1|-1 - -2|-1 - -2|1
MLNUSDT|1001110010|False|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|1 - 2|1 - 2|1 - 2|-0,5 - -1|-1 - -2|1
MLNUSDT|0100111001|True|0,5 - 1|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|1 - 2|1 - 2|1 - 2|-0,5 - -1|1
MLNUSDT|1010011100|True|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|0,0 - 0,25|0,5 - 1|1 - 2|1 - 2|1 - 2|1
MLNUSDT|1101001110|False|1 - 2|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|0,0 - 0,25|0,5 - 1|1 - 2|1 - 2|1
MLNUSDT|0110100111|True|0,5 - 1|1 - 2|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|0,0 - 0,25|0,5 - 1|1 - 2|1
MLNUSDT|1011010011|False|0,25 - 0,5|0,5 - 1|1 - 2|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|0,0 - 0,25|0,5 - 1|1
MLNUSDT|0101101001|True|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|0,25 - 0,5|1 - 2|1 - 2|1 - 2|1 - 2|0,0 - 0,25|1
MLNUSDT|1010110100|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|1 - 2|1 - 2|1 - 2|1
MLNUSDT|1101011010|True|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|2 - 3|1 - 2|1 - 2|1 - 2|1 - 2|1
MLNUSDT|1110101101|True|1 - 2|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|2 - 3|2 - 3|1 - 2|1 - 2|1 - 2|1
MLNUSDT|1111010110|True|0,5 - 1|1 - 2|1 - 2|0,5 - 1|0,5 - 1|1 - 2|2 - 3|2 - 3|1 - 2|1 - 2|1
MLNUSDT|1111101011|True|1 - 2|0,5 - 1|1 - 2|1 - 2|0,5 - 1|2 - 3|1 - 2|2 - 3|2 - 3|1 - 2|1
MLNUSDT|1111110101|False|0,5 - 1|1 - 2|0,5 - 1|1 - 2|1 - 2|2 - 3|2 - 3|1 - 2|2 - 3|2 - 3|1
