index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago|NightlyStar|AccessionBear|DarkCloud|FallingStar|MorningStar|AccessionBoom|Penetration|Pinbar|Doji|FiguresBinaryData
0|1629936000000|0,04608|0,0462|0,04605|0,04605|38322,4|1629936059999|1766,444093|20|17392,5|801,96596|26.08.2021 02:00:00|26.08.2021 02:00:59|-3E-05|0,00015|0,32573289902280130293159609|-0,06510416666666666666666667|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|False||||||||||||||||||||||False|False|False|True|False|False|False|False|False|
1|1629936060000|0,04601|0,04615|0,046|0,04615|111703|1629936119999|5146,623831|49|82372,4|3794,725992|26.08.2021 02:01:00|26.08.2021 02:01:59|0,00014|0,00015|0,32608695652173913043478261|0,3042816778961095414040426|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|False||||||||||||||||||||||False|False|False|False|False|False|False|False|False|
2|1629936120000|0,04616|0,04627|0,04609|0,04616|287114,9|1629936179999|13261,423179|78|196606,6|9084,039548|26.08.2021 02:02:00|26.08.2021 02:02:59|0|0,00018|0,39054024734215665003254502|0|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|False||||||||||||||||||||||False|False|False|False|False|False|False|False|False|
3|1629936180000|0,04616|0,04618|0,04596|0,04608|509409,8|1629936239999|23463,725424|138|283649,3|13065,338152|26.08.2021 02:03:00|26.08.2021 02:03:59|-8E-05|0,00022|0,4786771105308964316797215|-0,17331022530329289428076256|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|False||||||||||||||||||||||True|False|False|False|False|False|False|False|False|
4|1629936240000|0,04613|0,04619|0,04613|0,04616|146840,4|1629936299999|6778,176919|47|49740,2|2296,212902|26.08.2021 02:04:00|26.08.2021 02:04:59|3E-05|6E-05|0,1300672013873834814654238|0,0650336006936917407327119|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|False||||||||||||||||||||||False|False|False|False|False|True|False|False|False|
5|1629936300000|0,04619|0,04626|0,04604|0,04615|413660,3|1629936359999|19099,078267|76|278397,1|12859,816711|26.08.2021 02:05:00|26.08.2021 02:05:59|-4E-05|0,00022|0,47784535186794092093831451|-0,08659883091578263693440139|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|True|False|False|False|False|False|False|False|
6|1629936360000|0,04614|0,04617|0,04596|0,04596|104200,2|1629936419999|4805,875853|32|19386,6|894,742602|26.08.2021 02:06:00|26.08.2021 02:06:59|-0,00018|0,00021|0,45691906005221932114882507|-0,3901170351105331599479844|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|True|False|False|False|False|False|False|False|False|
7|1629936420000|0,04594|0,04604|0,04594|0,04596|53087,9|1629936479999|2440,537237|22|51128,2|2350,446677|26.08.2021 02:07:00|26.08.2021 02:07:59|2E-05|0,0001|0,21767522855898998693948629|0,04353504571179799738789726|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|False|False|True|True|True|False|False|False|
8|1629936480000|0,04598|0,04598|0,04591|0,04593|57220,5|1629936539999|2628,524842|23|11793,6|542,123383|26.08.2021 02:08:00|26.08.2021 02:08:59|-5E-05|7E-05|0,15247222827270747113918536|-0,1087429317094388864723793|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|True|False|False|False|False|False|False|False|
9|1629936540000|0,04593|0,04601|0,04574|0,04577|93563,8|1629936599999|4291,291674|36|21356,8|980,928016|26.08.2021 02:09:00|26.08.2021 02:09:59|-0,00016|0,00027|0,59029296020988194140795802|-0,34835619420857827128238624|||||||||||||||||||||||||||||||||||||||||||||||||||CELRUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|True|False|False|False|False|False|False|False|False|
