index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago|NightlyStar|AccessionBear|DarkCloud|FallingStar|MorningStar|AccessionBoom|Penetration|Pinbar|Doji|FiguresBinaryData
0|1630713600000|0,08981|0,08981|0,08947|0,08947|11503,4|1630713659999|1030,443531|8|466,9|41,830289|04.09.2021 02:00:00|04.09.2021 02:00:59|-0,00034|0,00034|0,38001564770314071755895831|-0,37857699588019151542144527|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||||||||||||||||||||||False|False|False|False|False|False|False|False|False|
1|1630713660000|0,08948|0,08948|0,08883|0,08941|235273|1630713719999|20963,42361|68|14226,4|1268,990889|04.09.2021 02:01:00|04.09.2021 02:01:59|-7E-05|0,00065|0,73173477428796577732747946|-0,07822977201609298167188198|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||||||||||||||||||||||False|False|False|False|False|False|False|True|False|
2|1630713720000|0,08937|0,08937|0,08912|0,0892|14665,7|1630713779999|1307,967826|6|11973,2|1067,978572|04.09.2021 02:02:00|04.09.2021 02:02:59|-0,00017|0,00025|0,28052064631956912028725314|-0,19022043191227481257692738|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||||||||||||||||||||||False|False|False|False|False|False|False|False|False|
3|1630713780000|0,0892|0,08927|0,08888|0,08892|6449,5|1630713839999|573,722589|11|0|0|04.09.2021 02:03:00|04.09.2021 02:03:59|-0,00028|0,00039|0,43879387938793879387938794|-0,31390134529147982062780269|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||||||||||||||||||||||False|False|False|False|False|False|False|False|False|
4|1630713840000|0,08924|0,08924|0,0892|0,08924|2852,6|1630713899999|254,5593|4|2684,5|239,56478|04.09.2021 02:04:00|04.09.2021 02:04:59|0|4E-05|0,0448430493273542600896861|0|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||||||||||||||||||||||False|False|False|False|False|False|False|True|False|
5|1630713900000|0,08924|0,08924|0,08924|0,08924|0|1630713959999|0|0|0|0|04.09.2021 02:05:00|04.09.2021 02:05:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|False|False|True|False|False|False|True|False|
6|1630713960000|0,08924|0,08924|0,08924|0,08924|57300,8|1630714019999|5113,523392|9|696,3|62,137812|04.09.2021 02:06:00|04.09.2021 02:06:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|False|False|True|False|False|False|True|False|
7|1630714020000|0,08924|0,08924|0,08924|0,08924|0|1630714079999|0|0|0|0|04.09.2021 02:07:00|04.09.2021 02:07:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|False|False|True|False|False|False|True|False|
8|1630714080000|0,08924|0,08924|0,08924|0,08924|0|1630714139999|0|0|0|0|04.09.2021 02:08:00|04.09.2021 02:08:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|False|False|True|False|False|False|True|False|
9|1630714140000|0,08924|0,08924|0,08924|0,08924|0|1630714199999|0|0|0|0|04.09.2021 02:09:00|04.09.2021 02:09:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||VITEUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|False|False|False|True|False|False|False|True|False|
10|1630714200000|0,08895|0,08896|0,08895|0,08896|5199,5|1630714259999|462,502746|3|0|0|04.09.2021 02:10:00|04.09.2021 02:10:59|1E-05|1E-05|0,01124227093872962338392355|0,01124227093872962338392355|0|0|0|0|0|0|0|0|0|0|0,0448430493273542600896861|0|0,40504050405040504050405041|0,0448430493273542600896861|0,13464991023339317773788151|-0,14546268322703368020588564|0,46155578070471687492964089|-0,26821636119803308001788109|-0,2570694087403598971722365|-0,63467319897561518761830531|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0|0|0|0|0|0|0|0|0|0|VITEUSDT|True|0000000000|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|-0,25 - -0,5|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|-0,5 - -1|False|False|False|False|False|False|False|False|False|444448-18-1
11|1630714260000|0,08917|0,08917|0,08917|0,08917|113,3|1630714319999|10,102961|1|113,3|10,102961|04.09.2021 02:11:00|04.09.2021 02:11:59|0|0|0|0|0,01124227093872962338392355|0,01124227093872962338392355|0|0|0|0|0|0|0|0|-0,31376064545047064096817571|-0,31376064545047064096817571|0,0448430493273542600896861|0|0,40504050405040504050405041|0,0448430493273542600896861|0,13464991023339317773788151|-0,14546268322703368020588564|0,46155578070471687492964089|-0,26821636119803308001788109|0,08895|0,08896|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08895|0,08896|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|1|0|0|0|0|0|0|0|0|0|VITEUSDT|False|1000000000|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-0,25 - -0,5|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-0,25 - -0,5|0 - -0,25|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|False|False|False|True|False|False|False|True|False|-144444-1-18
12|1630714320000|0,08902|0,08903|0,08879|0,08895|33942,2|1630714379999|3021,099035|15|3988,2|355,05439|04.09.2021 02:12:00|04.09.2021 02:12:59|-7E-05|0,00024|0,27030070953936254082666967|-0,07863401482812851044709054|0|0|0,01124227093872962338392355|0,01124227093872962338392355|0|0|0|0|0|0|-0,07844016136261766024204393|-0,07844016136261766024204393|-0,31376064545047064096817571|-0,31376064545047064096817571|0,0448430493273542600896861|0|0,40504050405040504050405041|0,0448430493273542600896861|0,13464991023339317773788151|-0,14546268322703368020588564|0,08917|0,08917|0,08895|0,08896|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0,08917|0,08917|0,08895|0,08896|0,08924|0,08924|0,08924|0,08924|0,08924|0,08924|0|1|0|0|0|0|0|0|0|0|VITEUSDT|True|0100000000|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-0,25 - -0,5|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-0,25 - -0,5|0 - -0,25|0,0 - 0,25|0 - -0,25|True|False|False|False|False|False|False|False|False|4-144448-1-1
13|1630714380000|0,08898|0,08898|0,08895|0,08898|14307,2|1630714439999|1272,997656|5|2056,3|182,912574|04.09.2021 02:13:00|04.09.2021 02:13:59|0|3E-05|0,03372681281618887015177066|0|0,27030070953936254082666967|-0,07863401482812851044709054|0|0|0,01124227093872962338392355|0,01124227093872962338392355|0|0|0|0|-0,23532048408785298072613178|-0,32496638278798744957418198|-0,07844016136261766024204393|-0,07844016136261766024204393|-0,31376064545047064096817571|-0,31376064545047064096817571|0,0448430493273542600896861|0|0,40504050405040504050405041|0,0448430493273542600896861|0,08902|0,08895|0,08917|0,08917|0,08895|0,08896|0,08924|0,08924|0,08924|0,08924|0,08902|0,08895|0,08917|0,08917|0,08895|0,08896|0,08924|0,08924|0,08924|0,08924|0|0|1|0|0|0|0|0|0|0|VITEUSDT|True|0010000000|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-0,25 - -0,5|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|-0,25 - -0,5|0 - -0,25|-0,25 - -0,5|0 - -0,25|0,0 - 0,25|False|False|False|False|False|False|False|True|False|14-144448-1
