index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
13|1631923980000|12,292|12,332|12,276|12,332|23049,7|1631924039999|283477,5616|520|17028,1|209440,6134|18.09.2021 02:13:00|18.09.2021 02:13:59|0,04|0,056|0,45617464972303681981101336|0,32541490400260331923202083|0,58910162002945508100147275|0,34280117531831537708129285|0,76304561864128651132261241|0,43449745859977045417281522|1,43607418348924995896930904|-0,94201721617670943641383791|0,30078855377611576294610194|-0,20264245764772635162519251|0,32456994482310938007140539|-0,00810766985568347656883412|-0,21103896103896103896103896|-0,58224163027656477438136827|-0,63111902257464196132373169|-1,08195397658457811869196609|0,00809061488673139158576052|-1,7399710004833252779120348|-0,61221201868857741259867891|-1,27495790233341351936492663|0,09715025906735751295336788|-0,38769081657378240852919796|12,252|12,294|12,198|12,251|12,314|12,198|12,337|12,312|12,334|12,333|12,252|12,294|12,198|12,251|12,314|12,198|12,337|12,312|12,334|12,333|1|1|0|0|0|1|1|0|0|0|SUSHIUSDT|True|1100000001|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|0 - -0,25|-0,5 - -1|0,0 - 0,25|-0,5 - -1|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|-0,5 - -1|0 - -0,25|0 - -0,25|-0,5 - -1|-1 - -2|-1 - -2|-1 - -2|-0,25 - -0,5
14|1631924040000|12,331|12,336|12,297|12,329|28402,2|1631924099999|349695,2402|318|4086,3|50333,4115|18.09.2021 02:14:00|18.09.2021 02:14:59|-0,002|0,039|0,31715052451817516467431081|-0,01621928472954342713486335|0,45617464972303681981101336|0,32541490400260331923202083|0,58910162002945508100147275|0,34280117531831537708129285|0,76304561864128651132261241|0,43449745859977045417281522|1,43607418348924995896930904|-0,94201721617670943641383791|0,30078855377611576294610194|-0,20264245764772635162519251|0,06491398896462187601428108|-0,01621533971136695313766823|-0,21103896103896103896103896|-0,58224163027656477438136827|-0,63111902257464196132373169|-1,08195397658457811869196609|0,00809061488673139158576052|-1,7399710004833252779120348|-0,61221201868857741259867891|-1,27495790233341351936492663|12,292|12,332|12,252|12,294|12,198|12,251|12,314|12,198|12,337|12,312|12,292|12,332|12,252|12,294|12,198|12,251|12,314|12,198|12,337|12,312|1|1|1|0|0|1|1|1|0|0|SUSHIUSDT|False|1110000000|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|0,0 - 0,25|0 - -0,25|-0,5 - -1|0,0 - 0,25|-0,5 - -1|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|-0,5 - -1|0 - -0,25|0 - -0,25|-0,5 - -1|-1 - -2|-1 - -2|-1 - -2
15|1631924100000|12,329|12,332|12,287|12,313|14467,2|1631924159999|178068,1342|335|4613,3|56781,6808|18.09.2021 02:15:00|18.09.2021 02:15:59|-0,016|0,045|0,36624074224790428908602588|-0,12977532646605564117122232|0,31715052451817516467431081|-0,01621928472954342713486335|0,45617464972303681981101336|0,32541490400260331923202083|0,58910162002945508100147275|0,34280117531831537708129285|0,76304561864128651132261241|0,43449745859977045417281522|1,43607418348924995896930904|-0,94201721617670943641383791|0,28452971303146085684090724|-0,0648455864472724325200616|0,06491398896462187601428108|-0,01621533971136695313766823|-0,21103896103896103896103896|-0,58224163027656477438136827|-0,63111902257464196132373169|-1,08195397658457811869196609|0,00809061488673139158576052|-1,7399710004833252779120348|12,331|12,329|12,292|12,332|12,252|12,294|12,198|12,251|12,314|12,198|12,331|12,329|12,292|12,332|12,252|12,294|12,198|12,251|12,314|12,198|0|1|1|1|0|0|1|1|1|0|SUSHIUSDT|False|0111000000|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|0,0 - 0,25|0 - -0,25|-0,5 - -1|0,0 - 0,25|0 - -0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|-0,5 - -1|0 - -0,25|0 - -0,25|-0,5 - -1|-1 - -2|-1 - -2
16|1631924160000|12,314|12,327|12,289|12,289|7841|1631924219999|96463,6188|241|3636,5|44744,9393|18.09.2021 02:16:00|18.09.2021 02:16:59|-0,025|0,038|0,30921962730897550655057368|-0,20302095176222186129608576|0,36624074224790428908602588|-0,12977532646605564117122232|0,31715052451817516467431081|-0,01621928472954342713486335|0,45617464972303681981101336|0,32541490400260331923202083|0,58910162002945508100147275|0,34280117531831537708129285|0,76304561864128651132261241|0,43449745859977045417281522|1,19809617593960282291153783|-0,00812083807048887445184343|0,28452971303146085684090724|-0,0648455864472724325200616|0,06491398896462187601428108|-0,01621533971136695313766823|-0,21103896103896103896103896|-0,58224163027656477438136827|-0,63111902257464196132373169|-1,08195397658457811869196609|12,329|12,313|12,331|12,329|12,292|12,332|12,252|12,294|12,198|12,251|12,329|12,313|12,331|12,329|12,292|12,332|12,252|12,294|12,198|12,251|0|0|1|1|1|0|0|1|1|1|SUSHIUSDT|False|0011100000|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|0,25 - 0,5|0,0 - 0,25|0 - -0,25|-0,5 - -1|0 - -0,25|0 - -0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0 - -0,25|0 - -0,25|0 - -0,25|-0,5 - -1|-1 - -2
17|1631924220000|12,29|12,312|12,271|12,283|6732,7|1631924279999|82750,5203|208|2551,3|31369,2944|18.09.2021 02:17:00|18.09.2021 02:17:59|-0,007|0,041|0,33412109852497758943851357|-0,05695687550854353132628153|0,30921962730897550655057368|-0,20302095176222186129608576|0,36624074224790428908602588|-0,12977532646605564117122232|0,31715052451817516467431081|-0,01621928472954342713486335|0,45617464972303681981101336|0,32541490400260331923202083|0,58910162002945508100147275|0,34280117531831537708129285|1,14046603216278306531014112|0,74602393835054927037219216|1,19809617593960282291153783|-0,00812083807048887445184343|0,28452971303146085684090724|-0,0648455864472724325200616|0,06491398896462187601428108|-0,01621533971136695313766823|-0,21103896103896103896103896|-0,58224163027656477438136827|12,314|12,289|12,329|12,313|12,331|12,329|12,292|12,332|12,252|12,294|12,314|12,289|12,329|12,313|12,331|12,329|12,292|12,332|12,252|12,294|0|0|0|1|1|0|0|0|1|1|SUSHIUSDT|False|0001110000|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0 - -0,25|0 - -0,25|0 - -0,25|-0,5 - -1
18|1631924280000|12,283|12,296|12,254|12,283|10072,8|1631924339999|123693,729|280|5501,7|67574,5076|18.09.2021 02:18:00|18.09.2021 02:18:59|0|0,042|0,34274522604863717969642566|0|0,33412109852497758943851357|-0,05695687550854353132628153|0,30921962730897550655057368|-0,20302095176222186129608576|0,36624074224790428908602588|-0,12977532646605564117122232|0,31715052451817516467431081|-0,01621928472954342713486335|0,45617464972303681981101336|0,32541490400260331923202083|0,73637702503681885125184094|0,25301991511589944498857329|1,14046603216278306531014112|0,74602393835054927037219216|1,19809617593960282291153783|-0,00812083807048887445184343|0,28452971303146085684090724|-0,0648455864472724325200616|0,06491398896462187601428108|-0,01621533971136695313766823|12,29|12,283|12,314|12,289|12,329|12,313|12,331|12,329|12,292|12,332|12,29|12,283|12,314|12,289|12,329|12,313|12,331|12,329|12,292|12,332|0|0|0|0|1|0|0|0|0|1|SUSHIUSDT|False|0000111000|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0 - -0,25|0 - -0,25|0 - -0,25
19|1631924340000|12,283|12,284|12,218|12,225|11024,3|1631924399999|134986,0223|340|3750,3|45915,2451|18.09.2021 02:19:00|18.09.2021 02:19:59|-0,058|0,066|0,54018660991979047307251596|-0,47219734592526255800700155|0,34274522604863717969642566|0|0,33412109852497758943851357|-0,05695687550854353132628153|0,30921962730897550655057368|-0,20302095176222186129608576|0,36624074224790428908602588|-0,12977532646605564117122232|0,31715052451817516467431081|-0,01621928472954342713486335|0,16291951775822743564679049|-0,07321835340058574682720469|0,73637702503681885125184094|0,25301991511589944498857329|1,14046603216278306531014112|0,74602393835054927037219216|1,19809617593960282291153783|-0,00812083807048887445184343|0,28452971303146085684090724|-0,0648455864472724325200616|12,283|12,283|12,29|12,283|12,314|12,289|12,329|12,313|12,331|12,329|12,283|12,283|12,29|12,283|12,314|12,289|12,329|12,313|12,331|12,329|0|0|0|0|0|0|0|0|0|0|SUSHIUSDT|False|0000011100|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,5 - 1|1 - 2|1 - 2|0,25 - 0,5|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,25 - 0,5|0,5 - 1|0 - -0,25|0 - -0,25
20|1631924400000|12,224|12,295|12,219|12,277|12839|1631924459999|157467,7674|375|6606,7|81080,3109|18.09.2021 02:20:00|18.09.2021 02:20:59|0,053|0,076|0,6219821589328095588837057|0,43357329842931937172774869|0,54018660991979047307251596|-0,47219734592526255800700155|0,34274522604863717969642566|0|0,33412109852497758943851357|-0,05695687550854353132628153|0,30921962730897550655057368|-0,20302095176222186129608576|0,36624074224790428908602588|-0,12977532646605564117122232|-0,10571684150605838822477027|-0,85962209066580163814775768|0,16291951775822743564679049|-0,07321835340058574682720469|0,73637702503681885125184094|0,25301991511589944498857329|1,14046603216278306531014112|0,74602393835054927037219216|1,19809617593960282291153783|-0,00812083807048887445184343|12,283|12,225|12,283|12,283|12,29|12,283|12,314|12,289|12,329|12,313|12,283|12,225|12,283|12,283|12,29|12,283|12,314|12,289|12,329|12,313|0|0|0|0|0|0|0|0|0|0|SUSHIUSDT|True|0000001110|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0,5 - 1|1 - 2|1 - 2|-0,25 - -0,5|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-0,5 - -1|0 - -0,25|0,25 - 0,5|0,5 - 1|0 - -0,25
21|1631924460000|12,275|12,278|12,2|12,218|45104,6|1631924519999|550965,6267|539|13807,4|168684,1116|18.09.2021 02:21:00|18.09.2021 02:21:59|-0,057|0,078|0,63934426229508196721311475|-0,4643584521384928716904277|0,6219821589328095588837057|0,43357329842931937172774869|0,54018660991979047307251596|-0,47219734592526255800700155|0,34274522604863717969642566|0|0,33412109852497758943851357|-0,05695687550854353132628153|0,30921962730897550655057368|-0,20302095176222186129608576|0,06510946528851631805973793|-0,42176981101468083380647254|-0,10571684150605838822477027|-0,85962209066580163814775768|0,16291951775822743564679049|-0,07321835340058574682720469|0,73637702503681885125184094|0,25301991511589944498857329|1,14046603216278306531014112|0,74602393835054927037219216|12,224|12,277|12,283|12,225|12,283|12,283|12,29|12,283|12,314|12,289|12,224|12,277|12,283|12,225|12,283|12,283|12,29|12,283|12,314|12,289|1|0|0|0|0|1|0|0|0|0|SUSHIUSDT|False|1000000111|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,5 - 1|1 - 2|0,25 - 0,5|-0,25 - -0,5|0 - -0,25|0 - -0,25|0 - -0,25|-0,25 - -0,5|-0,5 - -1|0 - -0,25|0,25 - 0,5|0,5 - 1
22|1631924520000|12,223|12,234|12,192|12,202|12243|1631924579999|149528,7818|275|4320,3|52809,1593|18.09.2021 02:22:00|18.09.2021 02:22:59|-0,021|0,042|0,34448818897637795275590551|-0,17180724862963265973983474|0,63934426229508196721311475|-0,4643584521384928716904277|0,6219821589328095588837057|0,43357329842931937172774869|0,54018660991979047307251596|-0,47219734592526255800700155|0,34274522604863717969642566|0|0,33412109852497758943851357|-0,05695687550854353132628153|-0,08951094474733501505411343|-0,7796004547669319473769693|0,06510946528851631805973793|-0,42176981101468083380647254|-0,10571684150605838822477027|-0,85962209066580163814775768|0,16291951775822743564679049|-0,07321835340058574682720469|0,73637702503681885125184094|0,25301991511589944498857329|12,275|12,218|12,224|12,277|12,283|12,225|12,283|12,283|12,29|12,283|12,275|12,218|12,224|12,277|12,283|12,225|12,283|12,283|12,29|12,283|0|1|0|0|0|0|1|0|0|0|SUSHIUSDT|False|0100000011|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,5 - 1|-0,25 - -0,5|0,25 - 0,5|-0,25 - -0,5|0 - -0,25|0 - -0,25|-0,5 - -1|-0,25 - -0,5|-0,5 - -1|0 - -0,25|0,25 - 0,5
